Query,Response
When should OTA Requestors invoke the ApplyUpdateRequest command?,OTA Requestors should invoke the ApplyUpdateRequest command once they are ready to apply a previously downloaded Software Image (Section ApplyUpdateRequest Command).
What does the 'WiFiSecurityBitmap' data type encode?,The 'WiFiSecurityBitmap' data type encodes the supported Wi-Fi security types present in the Security field of the WiFiInterfaceScanResultStruct.
What is the minimal requirement for Subscription path?,"Defined in Section 2.11.2.2, “Subscribe Interaction Limits”."
What is the subject key identifier of the DAC?,The subject key identifier of the DAC is 96:C2:D9:24:94:EA:97:85:C0:D1:67:08:E3:88:F1:C0:91:EA:0F:D5.
What is Matter?,"Matter is the foundation for connected things, serving as an industry-unifying standard for reliable, seamless, and secure connectivity across smart home devices and ecosystems."
What is the definition of an interaction?,An interaction is defined as a sequence of transactions.
How long do Secure Session Message Counters exist?,Secure Session Message Counters exist for as long as the associated security session is in effect.
What revisions are mentioned in the revision history of the On/Off Light device?,The revisions mentioned in the revision history of the On/Off Light device are: - 0 Represents device definitions prior to Zigbee 3.0 - 1 Initial Zigbee 3.0 release - 2 New data model format and notation
What status code does the KeySetRead command send back upon success?,"The KeySetRead command sends a SUCCESS status code back to the initiator upon success, or NOT_FOUND if the requested GroupKeySetID did not exist."
What is the Manual Pairing Code used for?,The Manual Pairing Code can be used in certain situations next to or instead of the QR code for device setup.
What are the semantics of Attribute and ListIndex tags?,"When EnableTagCompression is false or not present, Attribute and ListIndex tags have specific semantics, such as selecting all attributes within the specified Node, Endpoint, Cluster, or selecting specific attributes or list items."
What is the signature algorithm used to sign the DAC?,The DAC is signed using the ecdsa-with-SHA256 signature algorithm.
Can you provide an example of how to encode Onboarding Payloads for a concatenated QR Code and an NFC tag?,Example encoding for concatenated Onboarding Payloads in a QR Code: MT:<onboarding-base-38-content1><onbo arding-base-38-content2><onboarding-ba se-38-content3> Example encoding for NFC tag using NDEF URI Record Type Definition: 0xD1 0x01 <URI payload size> 0x55 0x00 MT:<base-38-content>
How does the User-Initiated Beacon Detection user journey for already commissioned devices work?,"In this user journey, the user first initiates an interaction with a Commissioner and then indicates an intention to commission existing devices on the IP network without providing additional information about them. The Commissioner then sends the Commissionable Node Discovery broadcast message, constructs a list of Commissionees discovered, and presents the list to the user for selection."
What is the purpose of the Time Synchronization Cluster?,"The Time Synchronization Cluster provides attributes for reading a Node’s current time and allows Administrators to set the current time, time zone, and daylight savings time (DST) settings."
What is the purpose of the Message Counter Synchronization Request (MsgCounterSyncReq) message?,The MsgCounterSyncReq message is sent when a message is received from a peer whose current message counter is unknown.
What happens if the MsgCounterSyncRsp message fails verification?,"If the verification fails, the receiver silently ignores the MsgCounterSyncRsp message."
What is the purpose of the Administrator Commissioning Cluster?,"The Administrator Commissioning Cluster is used to trigger a Node to allow a new Administrator to commission it. It defines Attributes, Commands, and Responses needed for this purpose."
How does the Group Session ID assist receiving nodes in locating the appropriate Operational Group Key for decrypting incoming groupcast messages?,"The Group Session ID provides receiving nodes with a means to efficiently identify potential Operational Group Key candidates without the need to attempt decryption using all available keys. While the Group Session ID may not serve as the sole means for locating the associated Operational Group Key due to potential collisions within the fabric, it significantly narrows down the candidate keys for decryption. Upon receipt of a groupcast message, receiving nodes attempt decryption using all valid, installed Operational Group Key candidates referenced by the given Group Session ID. This approach minimizes the computational overhead by reducing the number of keys that need to be tried for decryption, enhancing the efficiency of message processing."
What is the maximum message size allowed for messages transmitted over UDP in Matter?,"In Matter, all messages, including transport headers, must fit within the minimal IPv6 MTU of 1280 bytes. Therefore, the maximum message size allowed for messages transmitted over UDP is 1280 bytes."
What does the Status field indicate in the RetrieveLogsResponse command?,The Status field indicates the result of an attempt to retrieve diagnostic logs.
What does the BatVoltage Attribute indicate?,"It indicates the currently measured output voltage of the battery, in mV (millivolts)."
How are ASN.1 Object Identifiers (OIDs) handled in Matter certificates?,"Matter certificates do not use ASN.1 OIDs; instead, each valid ASN.1 OID is mapped to a Matter TLV tag within its reference category."
When is protection against physical attacks needed for Devices?,"Protection against physical attacks is needed for some Devices, as determined by the manufacturer, especially those impacting cybersecurity."
What are the encoding rules for the key usage extension in a Matter ICA Certificate and Matter Root CA Certificate?,The key usage extension shall be encoded with exactly two flags: keyCertSign and CRLSign.
What does the responder do upon receipt of Msg3 in CASE?,"Upon receipt of Msg3, the responder performs several steps to validate the message and initialize the session."
How is ProductID encoded in the preferred method?,"ProductID is encoded as an AttributeTypeAndValue entry with the type equal to 1.3.6.1.4.1.37244.2.2, following the encoding specified in Section 6.1.1."
What is the significance of the Valid Read Attribute Paths table?,"The Valid Read Attribute Paths table defines valid attribute data paths for Read Request or Subscribe Request actions. It provides combinations of specific and wildcard paths for accessing attribute data from clusters, endpoints, and nodes."
What is the significance of the MaxIntervalCeiling parameter?,The MaxIntervalCeiling parameter specifies the requested highest maximum interval value.
How is the uniqueness of identifiers ensured in Matter?,"The operational root of trust, identified by the Root CA's public key, is responsible for allocating correctly scoped fabric identifiers. The uniqueness of identifiers within any root CA is ensured through collaboration between the commissioner and the root CA."
What does the 'InterfaceEnabled' attribute indicate?,The 'InterfaceEnabled' attribute indicates whether the associated network interface is enabled or not.
Can the revocation information be partitioned?,"Yes, it may be partitioned over multiple entries in the Device Attestation PKI Revocation Distribution Points Schema."
What triggers the automatic retry mechanism in MRP?,The automatic retry mechanism in MRP is triggered after a period of mrpBackoffTime milliseconds without receiving an acknowledgment.
What is the ID and name of the command that resets counts?,"The ID of the command is 0x00, and its name is ResetCounts."
What type of initialization vectors do Devices use?,Devices use random initialization vectors.
How is the Year field in the Date data type represented and constrained?,"The Year field represents years from 1900 to 2155, with a range of values from 0 (1900) to 255 (2155)."
How are Secure Session Message Counters maintained?,"Each peer in a Secure Unicast Session maintains its own message counters, with independent counters being used for each unique session."
